year,product_type,trade_type,metric,value
2018,Tobacco Products,Import,Value (RM Million),1100.419814
2018,Tobacco Products,Export,Quantity ('000 T),17.33859069
2018,Tobacco Products,Export,Value (RM Million),544.373183
2018,Total,Import,Quantity ('000 T),28.03722321
2018,Total,Import,Value (RM Million),1141.721342
2018,Total,Export,Quantity ('000 T),24.20394035
2018,Total,Export,Value (RM Million),680.4911920000001
2019,Tobacco Raw,Import,Quantity ('000 T),12.01973795
2019,Tobacco Raw,Import,Value (RM Million),44.300911
2019,Tobacco Raw,Export,Quantity ('000 T),0.015523480000000001
2019,Tobacco Raw,Export,Value (RM Million),1.098459
2019,Tobacco Products,Import,Quantity ('000 T),16.88812521
2019,Tobacco Products,Import,Value (RM Million),1121.228568
2019,Tobacco Products,Export,Quantity ('000 T),49.06486506
2019,Tobacco Products,Export,Value (RM Million),567.98841
2019,Total,Import,Quantity ('000 T),28.907863159999998
2019,Total,Import,Value (RM Million),1165.529479
2019,Total,Export,Quantity ('000 T),49.08038854
2019,Total,Export,Value (RM Million),569.0868690000001
2020,Tobacco Raw,Import,Quantity ('000 T),7.8277019
2020,Tobacco Raw,Import,Value (RM Million),16.647641
2020,Tobacco Raw,Export,Quantity ('000 T),0.09794360000000002
2020,Tobacco Raw,Export,Value (RM Million),1.76506
2020,Tobacco Products,Import,Quantity ('000 T),13.787711270000003
2020,Tobacco Products,Import,Value (RM Million),860.797275
2020,Tobacco Products,Export,Quantity ('000 T),11.90075721
2020,Tobacco Products,Export,Value (RM Million),327.42352200000005
2020,Total,Import,Quantity ('000 T),21.615413170000004
2020,Total,Import,Value (RM Million),877.444916
2020,Total,Export,Quantity ('000 T),11.99870081
2020,Total,Export,Value (RM Million),329.18858200000005
