population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,3,Rate,1991,1.1355279971903949,1.511899392315443,0.8054487563992615
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,1,Number,1991,1333.6216883078162,1776.4839713365336,951.4660800345328
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,2,Percent,1991,0.08606833552877448,0.10884668620594479,0.06644349654395675
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,1991,7.315022046758024,9.744157229872217,5.2188678492671565
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,1,Number,1990,45.61087512912484,77.57298084848921,24.192841164300308
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,2,Percent,1990,0.06929882101779306,0.09310921541424647,0.05181735377503777
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,3,Rate,1990,0.25764176700556196,0.43818584495721014,0.1366578985561951
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,1,Number,1990,1310.6210104046502,1746.1077242236352,935.6885355234041
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,2,Percent,1990,0.08629624374891019,0.10931162662176588,0.06706228659582136
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,1990,7.403293886366341,9.863224026670183,5.285415966622383
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,1,Number,1990,280.0980867851114,490.4518956781567,133.01947684244035
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,2,Percent,1990,0.12231494211800033,0.18381051852898717,0.0626907948417707
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,3,Rate,1990,1.5821877087403726,2.7704115011171964,0.7513860008784998
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,1,Number,1992,48.36326414071779,78.29558006666474,26.022976448509777
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,2,Percent,1992,0.06946986675345934,0.09119871757631232,0.05203312786215999
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,3,Rate,1992,0.25723235977970654,0.416435018990226,0.1384098397673319
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,1,Number,1992,217.32390394973385,287.7033342993964,155.41378337451144
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,2,Percent,1992,0.11140959402224551,0.1346437515627642,0.08654043618104706
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,3,Rate,1992,1.1558926313756177,1.5302235883623128,0.8266078592916987
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,1,Number,1992,121.80362991903175,198.41585966730048,65.10680651991814
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,2,Percent,1992,0.056401595606040474,0.0812246788489174,0.0343960075740299
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,3,Rate,1992,0.6478436828135403,1.0553253736438415,0.3462871618861491
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,1,Number,1991,670.473616108201,950.3464358709067,401.0288511464199
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,2,Percent,1991,0.05758197438739836,0.07681715701075029,0.03863476089752814
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,3,Rate,1991,3.6776016216594734,5.212726511125122,2.199675450122861
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,1,Number,1990,116.20417772691233,185.40206012455198,61.75709201318176
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,2,Percent,1990,0.05658377202086868,0.08144089342312627,0.03407965892226376
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,3,Rate,1990,0.6564015620886968,1.0472790588150576,0.3488467666177514
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,1,Number,1991,289.6550112482853,490.36979784156597,134.0743516324241
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,2,Percent,1991,0.12241637399958955,0.18448957356011791,0.06206214341115715
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,3,Rate,1991,1.5887809952488565,2.6897177165938477,0.7354085845292581
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,1,Number,1992,302.3440455649158,506.06570519583715,137.65224195458302
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,2,Percent,1992,0.12270853200252783,0.18572312701937801,0.06195299407031263
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,3,Rate,1992,1.608093946672395,2.6916395711493943,0.7321385695539409
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,1,Number,1991,46.739259134281106,78.61819483931781,25.143593811444696
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,2,Percent,1991,0.06931903945867068,0.09150067219327407,0.05207434534756397
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,3,Rate,1991,0.25636858939376256,0.43122711153238924,0.1379146310216532
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,1,Number,1991,118.01164773394395,189.3753458789429,63.045694803392074
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,2,Percent,1991,0.05643806899846293,0.08116072431459594,0.03417379755622724
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,587,Diabetes mellitus,100,Secondhand smoke,3,Rate,1991,0.6473033638523064,1.0387389784989411,0.34581069840365775
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,1,Number,1993,318.80707395162096,542.9326304395463,148.27674497733778
