dataset_type,category,question,smoking_status,response,count,percentage
Overall Population,Harmfulness,Smokes from e-cig are not harmful to others.,Non-Smoker,Do Not Agree,151,41.4
Overall Population,Harmfulness,Smokes from e-cig are not harmful to others.,Ever Smoker,Not Sure,276,51.1
Overall Population,Harmfulness,Smokes from e-cig are not harmful to others.,Non-Smoker,Not Sure,164,45.1
Overall Population,Harmfulness,Smokes from e-cig are not harmful to others.,Ever Smoker,Agree,105,19.4
Overall Population,Harmfulness,Smokes from e-cig are not harmful to others.,Non-Smoker,Agree,49,13.5
Overall Population,Harmfulness,Sharing of e-cig can cause transmission of infectious diseases,Ever Smoker,Do Not Agree,55,10.2
Overall Population,Harmfulness,Sharing of e-cig can cause transmission of infectious diseases,Non-Smoker,Do Not Agree,38,10.4
Overall Population,Harmfulness,Sharing of e-cig can cause transmission of infectious diseases,Ever Smoker,Not Sure,209,38.7
Overall Population,Harmfulness,Sharing of e-cig can cause transmission of infectious diseases,Non-Smoker,Not Sure,103,28.3
Overall Population,Harmfulness,Sharing of e-cig can cause transmission of infectious diseases,Ever Smoker,Agree,276,51.1
Overall Population,Harmfulness,Sharing of e-cig can cause transmission of infectious diseases,Non-Smoker,Agree,223,61.3
Overall Population,Reasons to Use,E-cig gives the same satisfaction as conventional cigarette.,Ever Smoker,Do Not Agree,253,46.9
Overall Population,Reasons to Use,E-cig gives the same satisfaction as conventional cigarette.,Non-Smoker,Do Not Agree,79,21.7
Overall Population,Reasons to Use,E-cig gives the same satisfaction as conventional cigarette.,Ever Smoker,Not Sure,227,42
Overall Population,Reasons to Use,E-cig gives the same satisfaction as conventional cigarette.,Non-Smoker,Not Sure,245,67.3
Overall Population,Reasons to Use,E-cig gives the same satisfaction as conventional cigarette.,Ever Smoker,Agree,60,11.1
Overall Population,Reasons to Use,E-cig gives the same satisfaction as conventional cigarette.,Non-Smoker,Agree,40,11
Overall Population,Reasons to Use,E-cig became the choice as the cost is cheaper.,Ever Smoker,Do Not Agree,188,34.8
Overall Population,Reasons to Use,E-cig became the choice as the cost is cheaper.,Non-Smoker,Do Not Agree,115,31.6
Overall Population,Reasons to Use,E-cig became the choice as the cost is cheaper.,Ever Smoker,Not Sure,189,35
Overall Population,Reasons to Use,E-cig became the choice as the cost is cheaper.,Non-Smoker,Not Sure,173,47.5
Overall Population,Reasons to Use,E-cig became the choice as the cost is cheaper.,Ever Smoker,Agree,163,30.2
Overall Population,Reasons to Use,E-cig became the choice as the cost is cheaper.,Non-Smoker,Agree,76,20.9
Overall Population,Reasons to Use,E-cig is more accepted by people around compared to conventional cigarette.,Ever Smoker,Do Not Agree,164,30.3
Overall Population,Reasons to Use,E-cig is more accepted by people around compared to conventional cigarette.,Non-Smoker,Do Not Agree,133,36.6
Overall Population,Reasons to Use,E-cig is more accepted by people around compared to conventional cigarette.,Ever Smoker,Not Sure,231,42.8
Overall Population,Reasons to Use,E-cig is more accepted by people around compared to conventional cigarette.,Non-Smoker,Not Sure,141,38.7
Overall Population,Reasons to Use,E-cig is more accepted by people around compared to conventional cigarette.,Ever Smoker,Agree,145,26.9
Overall Population,Reasons to Use,E-cig is more accepted by people around compared to conventional cigarette.,Non-Smoker,Agree,90,24.7
Overall Population,Reasons to Use,Availability of various flavours in e-liquid will encourage even non-smokers to try it.,Ever Smoker,Do Not Agree,136,25.2
Overall Population,Reasons to Use,Availability of various flavours in e-liquid will encourage even non-smokers to try it.,Non-Smoker,Do Not Agree,87,23.9
Overall Population,Reasons to Use,Availability of various flavours in e-liquid will encourage even non-smokers to try it.,Ever Smoker,Not Sure,161,29.8
Overall Population,Reasons to Use,Availability of various flavours in e-liquid will encourage even non-smokers to try it.,Non-Smoker,Not Sure,116,31.9
Overall Population,Reasons to Use,Availability of various flavours in e-liquid will encourage even non-smokers to try it.,Ever Smoker,Agree,243,45
Overall Population,Reasons to Use,Availability of various flavours in e-liquid will encourage even non-smokers to try it.,Non-Smoker,Agree,161,44.2
